RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1209,2-1278-08,2,1278,8,,,Thomas,Modiford,,,Exeter,Devon,,,,
1210,2-1279-01,2,1279,1,,,Thomas,Pershall,,brother of Edm,Over,Cheshire,,,,
1211,2-1279-01,2,1279,1,,,Edmund,Pershall,,brother of Thomas,Over,Cheshire,,,,
1212,2-1279-02,2,1279,2,,,William,Baxter,,,Cliff,Yorkshire,,,,
1213,2-1279-03,2,1279,3,,,Arthur,Brooke,,,Glastonbury,Somerset,,,,
1214,2-1279-04,2,1279,4,,,Thomas,Gerard,senior,,Aughton,Lancashire,Ince,Lancashire,,
1215,2-1279-04,2,1279,4,,,Thomas,Gerard,junior,,Ince,Lancashire,,,,
1216,2-1282-01,2,1282,1,,Colonel,Ambrose,Jennings,,,Isle of Wight,Hampshire,,,,
1217,2-1282-02,2,1282,2,,,Thomas,Simcocks or Simcox,,,Butleigh,Somerset,,,,
1218,2-1282-03,2,1282,3,,,William,Ashburnham,,,,,,,,
1219,2-1282-03,2,1282,3,,,Jane,Ashburnham,Countess of Marlborough,wife of William,,,,,,
1220,2-1283-01,2,1283,1,,,Richard,Brighouse,,,Bradford,Yorkshire,,,,
1221,2-1283-02,2,1283,2,,,Christopher,Hillyard,,,Rowth,Yorkshire,,,,
1222,2-1283-03,2,1283,3,,Sir,Henry,Hunckes,,,Portlinch,Devon,,,,
1223,2-1283-04,2,1283,4,,,Robert,,Viscount Kilmorey,,,,,,,
1224,2-1286-01,2,1286,1,,,Edward,Kirton,MP,,Castle Cary,Somerset,,,,
1225,2-1286-02,2,1286,2,,,Peter,Leicester,junior,,Nether Tabler,Cheshire,,,,
1226,2-1287-01,2,1287,1,,Sir,Hugh,Pollard,bart,,King's Nympton,Devon,,,,
1227,2-1287-02,2,1287,2,,,Valentine,Powell,,,Frome,Somerset,,,,
1228,2-1287-03,2,1287,3,,,Anthony,Roper,,,Eltham,Kent,,,,
1229,2-1287-03,2,1287,3,,,Margaret,Roper,,widow of Anthony,,,,,,
1230,2-1288-01,2,1288,1,,Sir,Thomas,Tresham,,,Geddington,Northamptonshire,,,,
1231,2-1288-02,2,1288,2,,,Robert,Wiseman,,,Tydd St Mary,Lincolnshire,,,,
1232,2-1288-03,2,1288,3,,,John,Barber,,,Norwich,Norfolk,,,,
1233,2-1288-04,2,1288,4,,,William,Barber,,,Tibenham,Norfolk,,,,
1234,2-1288-05,2,1288,5,,Colonel,John,Croke,,,Motcombe,Dorset,Chilton,Buckinghamshire,,
1235,2-1289-01,2,1289,1,,Sir,John,Culpepper,,,Hollingbourn,Kent,,,,
1236,2-1289-01,2,1289,1,,,Judith,Culpepper,,wife of Sir John,,,,,,
1237,2-1289-01,2,1289,1,,Sir,Cheney,Culpepper,,brother of Sir John,,,,,,
1238,2-1289-02,2,1289,2,,,Jasper,Denham,,,Ilminster,Somerset,,,,
